Office,Event Name,Location of Event,Event Duration (Hours),Number of Attendees
Community Engagement,(meeting Halloween),335 Clinton pl,0.5,2
Community Engagement,Annual Halloween Party,Rec Center,0.5,1
Community Engagement,Bergen County Job Fair,400 Paramus Rd,0.5,2
Community Engagement,Boys & Girls Club (Josh Gottenheimer),170 Sussex,0.5,2
Community Engagement,Clinton PL Halloween Event,Clinton pl,1.5,8
Community Engagement,Coffee with a Cop,Mc Donalds,0.5,6
Community Engagement,Dance for the Cure,Rec Center,0.5,1
Community Engagement,Grand Opening (Wonder),100 River st,0.5,2
Community Engagement,Hope One Van,Stop & Shop,0.5,2
Community Engagement,"Nellie K. Parker ""Reading for the kids""",Nellie K. Parker School,0.5,1
Community Engagement,Presentation Timothy Shoe maker,Hac Pac,0.5,2
Community Engagement,Slam Dunk the Junk,102 State st,0.5,1
Community Engagement,Substance Use Prevention Walk,Commencement Green FDU,0.5,2
Community Engagement,Touch a Truck Event,Fairmount School,0.5,6
Community Engagement,Touch a Truck Event,Hillers,0.5,3
Community Engagement,Touch a Truck Event,Jackson ave school,0.5,5
Community Engagement,Trunk or Treat Event,555 Main st Bright Adventures school,0.5,4
Community Engagement,Trunk or Treat Event,Mount Olive Church,0.5,1
